ResultType,Rank,BaseRank,Url
shopping,1,,www.google.com/
regular,2,1,www.rei.com/c/backpacking-tents
regular,3,2,www.amazon.com/s?rh=n%3A2204486011%2Cp_n_size_browse-bin%3A2204489011
regular,4,3,www.walmart.com/tp/1-2-person-tents
regular,5,4,www.target.com/c/tents-camping-outdoors-sports/-/N-5xt5u
regular,6,5,www.dickssportinggoods.com/products/camping-family-tents.jsp
regular,7,6,www.backpacker.com/gear/tents/2-person/
images,8,,www.google.com/
regular,9,7,www.cabelas.com/category/View-All-Tents/105517980.uts
regular,10,8,www.coleman.com/Products/11000/tents
regular,11,9,www.the-house.com/tents-2-person.html
regular,12,10,www.overstock.com/Sports-Toys/Tents-Outdoor-Canopies/13129/subcat.html
regular,13,11,www.kmart.com/fitness-sports-outdoor-activities-camping-hiking-tents/b-1341652400
regular,14,12,www.gandermountain.com/Camping/Tents-Shelters/Camping-Tents
regular,15,13,www.kelty.com/category/tents-shelters
regular,16,14,www.kelty.com/product/acadia-2
regular,17,15,www.overstock.com/Sports-Toys/Tents-Outdoor-Canopies/2_-person,/sleeping-capacity,/13129/subcat.html
regular,18,16,www.ebay.com/sch/Tents-/179010/i.html
regular,19,17,www.llbean.com/llb/shop/1096?page=tents
regular,20,18,marmot.com/products/equipment/tents/2-person-tents
regular,21,19,www.sears.com/fitness-sports-outdoor-activities-camping-hiking-tents/b-1340958978
regular,22,20,www.outdoorgearlab.com/Backpacking-Tent-Reviews
regular,23,21,www.camptents.com/shop/2-person-pop-up-tent/
regular,24,22,www.slumberjack.com/p-581-trail-tent-2.aspx
regular,25,23,www.cleverhiker.com/blog/7-best-backpacking-tents-of-2015
videos,26,24,www.youtube.com/watch?v=V-yZSiD4OKs
regular,27,25,thewirecutter.com/reviews/tent-we-like-for-camping/
regular,28,26,www.moosejaw.com/moosejaw/shop/navigation__Tents_____
regular,29,27,www.basspro.com/Tents/_/S-12325001000?ddnv=FlyOCA_Tent
regular,30,28,www.campmor.com/h/s/shop-by-sale/hot-deals/tent-deals
regular,31,29,www.thenorthface.com/shop/equipment-tents
regular,32,30,www.backcountry.com/explore/how-to-choose-a-backpacking-tent
regular,33,31,www.anacondastores.com/camping-hiking/tents/camping-tents/spinifex-hawkesbury-2-person-dome-tent/p/BP90026370
regular,34,32,www.backcountrygear.com/ultralight-tents/tent-sleeps/2-person.html
regular,35,33,www.academy.com/shop/browse/camping--outdoors/tents--screen-houses
regular,36,34,www.sportsmansguide.com/productlist/camping/tents/backpacking-tents?c=80&s=420
regular,37,35,www.lowergear.com/product.php/id/196
regular,38,36,store.eurekatent.com/backpacking-tents
regular,39,37,www.gooutdoors.co.uk/camping/tents/1-2-person-tents
regular,40,38,hiconsumption.com/2014/01/10-best-camping-tents-for-the-great-outdoors/
regular,41,39,www.wenzelco.com/c-tents.aspx
regular,42,40,www.big5sportinggoods.com/store/browse/outdoors/camping-and-hiking/tents/_/N-al7?
regular,43,41,www.texsport.net/texsport-tents.html
regular,44,42,sectionhiker.com/kelty-salida-2-person-tent/
regular,45,43,www.staples.com/Camping/cat_CL211214
regular,46,44,www.sportsauthority.com/products/tents-tent-accessories-f2279633
regular,47,45,www.blacks.co.uk/equipment/tents-camping/tents/2-person-tents/
regular,48,46,www.sunnysports.com/c-2145/tents-shelters
regular,49,47,www.sierradesigns.com/product/flashlight-2
regular,50,48,www.homedepot.com/b/Playsets-Recreation-Camping-Hunting-Fishing-Hiking-Camping-Gear-Tents-Shelters/N-5yc1vZc417
regular,51,49,www.bigagnes.com/Products/Tents
regular,52,50,www.sportsmanswarehouse.com/sportsmans/Backpacking-Tents/category/cat100836
regular,53,51,unclesams.com/granite-falls-2-tent.php
regular,54,52,www.lightspeedoutdoors.com/
regular,55,53,www.geartrade.com/browse/tents/1
regular,56,54,www.tentspro.com/
regular,57,55,www.scoutstuff.org/bsa/camping/shelters/tents/tent-midori-2-eureka.html
regular,58,56,www.kohls.com/catalog/camping-hiking-tents-outdoor-recreation-sports-fitness.jsp?CN=4294721729+4294718277+4294707419+4294719676
regular,59,57,en.wikipedia.org/wiki/Tent
regular,60,58,indefinitelywild.gizmodo.com/how-to-find-the-perfect-tent-1624706473
regular,61,59,gearpatrol.com/2014/05/08/10-best-tents-2014/
regular,62,60,www.costco.com/tents-shelters.html
regular,63,61,www.junglehammock.com/product/vertex-with-weathershield/
regular,64,62,sfbay.craigslist.org/pen/spo/5359090011.html
regular,65,63,www.outdoorplay.com/Camp-Hike/2-Person-Camping-Tents
regular,66,64,shopping.yahoo.com/news/best-camping-tents-under--100-001230860.html
regular,67,65,www.trademe.co.nz/sports/camping-outdoors/tents/1-2-person-tents
regular,68,66,www.mountainhardwear.com/lightwedge-2-dp-OU9624.html
regular,69,67,us.hilleberg.com/EN/
regular,70,68,www.thrillist.com/gear/best-tents-of-2015-solo-tents-3-season-tents-car-camping-tents-winter-tents-ultralight-tents-multi-person-tents
regular,71,69,jcjustcamping.com/2-person-tent-review
regular,72,70,www.advensport.com/best-camping-tents/
regular,73,71,www.cascadedesigns.com/msr/tents/experience-series/hubba-hubba-nx/product
regular,74,72,www.tentsetc.com/collections/camping-gear
regular,75,73,www.sportchalet.com/outdoor/camping-and-hiking/tents/
regular,76,74,www.saferwholesale.com/category-s/122.htm
regular,77,75,www.eddiebauer.com/product/stargazer-2-person-tent/82302204/_/A-ebSku_0232204907__82302204_catalog10002_en__US
regular,78,76,www.fleetfarm.com/category/sporting-goods/camping/tents-accessories
regular,79,77,www.kathmandu.com.au/camping/tents.html
regular,80,78,www.bigskyfishing.com/camping-products/tents-four-season.php
regular,81,79,www.cotswoldoutdoor.com/equipment/tents/2-person-tents
regular,82,80,kaimatents.com/kaima-easy-setup-2-person-camping-tent-blue-yellow.html
regular,83,81,blackwoodspress.com/blog/12796/directory-lightweight-backpacking-shelters/
regular,84,82,www.sierratradingpost.com/marmot-midgard-2-tent-2-person-4-season~p~6333n/reviews/
regular,85,83,www.paragonsports.com/shop/en/Paragon/tents
regular,86,84,www.adventure16.com/shop/msr/hubba-hubba-nx-2person-backpacking-tent-4999
regular,87,85,www.lazada.com.ph/2-person-dome-camping-tent-107122.html
regular,88,86,www.wayfair.com/Tents-C216003.html
regular,89,87,www.campsaver.com/fury-2-tent-2-person-4-season
regular,90,88,www.meijer.com/t3/sporting-goods/camping/tents-canopies/t1/t1-871/t2/t2-10046/T3-615.uts
regular,91,89,www.12survivors.com/ts75001.html
regular,92,90,www.globalsources.com/si/AS/Beijing-Luying/6008830835537/pdtl/Best-2-people-hiking-tent-camping-tents-2-person/1119357236.htm
regular,93,91,rentals.sportsbasement.com/rent/camping-backpacking/2-person-tent
regular,94,92,www.glacier-national-park-travel-guide.com/backpacking-tents.html
regular,95,93,www.backcountryedge.com/backpacking-and-camping-gear/tents.html
regular,96,94,www.campingworld.com/category/family-tents/1015
regular,97,95,www.ckbproducts.com/bluegray-redgray-person-camping-tent-p-28398.html
regular,98,96,www.campingatv.com/home/store/camping-gear/atv-camping-tents/
regular,99,97,www.cyclingabout.com/everything-you-ever-need-to-know-tents-for-bicycle-touring/
regular,100,98,www.sportsdirect.com/camping/tents/2-to-4-man-tents
regular,101,99,www.instructables.com/id/How-to-Put-up-a-Dome-Tent/
